modelo,conjunto_atributos,ano_teste,data_referencia,municipio,y_real,y_pred
DummyMedia,calendario,2023,2023-05-01,concordia,3,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,concordia,4,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,concordia,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,concordia,2,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,concordia,2,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,concordia,2,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,concordia,3,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,concordia,2,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,cordilheira alta,3,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,cordilheira alta,2,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,cordilheira alta,2,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,cordilheira alta,0,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,cordilheira alta,3,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,cordilheira alta,3,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,cordilheira alta,4,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,cordilheira alta,1,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,cordilheira alta,2,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,cordilheira alta,3,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,cordilheira alta,1,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,cordilheira alta,1,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,coronel freitas,0,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,correia pinto,2,4.982283464566929
DummyMedia,calendario,2023,2023-02-01,correia pinto,2,4.982283464566929
DummyMedia,calendario,2023,2023-03-01,correia pinto,3,4.982283464566929
DummyMedia,calendario,2023,2023-04-01,correia pinto,3,4.982283464566929
DummyMedia,calendario,2023,2023-05-01,correia pinto,4,4.982283464566929
DummyMedia,calendario,2023,2023-06-01,correia pinto,2,4.982283464566929
DummyMedia,calendario,2023,2023-07-01,correia pinto,2,4.982283464566929
DummyMedia,calendario,2023,2023-08-01,correia pinto,1,4.982283464566929
DummyMedia,calendario,2023,2023-09-01,correia pinto,3,4.982283464566929
DummyMedia,calendario,2023,2023-10-01,correia pinto,3,4.982283464566929
DummyMedia,calendario,2023,2023-11-01,correia pinto,5,4.982283464566929
DummyMedia,calendario,2023,2023-12-01,correia pinto,0,4.982283464566929
DummyMedia,calendario,2023,2023-01-01,corupa,7,4.982283464566929
